"";"lon";"lat";"alt"
"ACCIAI SPECIALI TERNI S.P.A. - stabilimento di TERNI";12.6667;42.5667;10
"ACCIAIERIE BERTOLI SAFAU SPA";13.2534;46.0067;10
"AHCC Zliten Cement Plant";14.4855969004895;32.4235005577966;10
"ARCELORMITTAL MEDITERRANEE";4.93663;43.46551;10
"Acciaieria Arvedi S.p.A.";9.9469;45.1494;10
"Akdeniz Cement Plant";34.7619062344916;36.8686612705993;10
"Al Ahlia Khoms Cement Plant 2";14.325128878794;32.5206797505859;10
"Al Sabaa Chekka Cement Plant";35.731147275083;34.3351077679258;10
"Al-Ezz Dekheila Steel Alexandria plant";29.8066596183369;31.1197236694082;10
"Alpacem Cement Anhovo";13.628036;46.06865;10
"BUZZI UNICEM S.p.A.";9.81;44.7667;10
"BUZZI UNICEM SPA";7.5;44.2833;10
"BUZZI UNICEM SRL";11.7517;45.2542;10
"Batıçim Bornova Cement Plant";27.2634323215444;38.4563347262105;10
"Benghazi Cement Plant";20.1345613105624;32.0059017595096;10
"Borg El Arab Cement Plant";29.4656887783968;30.8803530326624;10
"Borizane Cement Plant";19.7263099774318;41.5488546799657;10
"CEMENTERIA DI AUGUSTA";15.180555;37.194444;10
"CEMENTERIA DI BARLETTA";16.2892;41.3167;10
"CEMENTERIA DI GUIDONIA";12.7167;42.0001;10
"CEMENTERIA DI PEDEROBBA";11.966666;45.877777;10
"CEMENTOS MOLINS INDUSTRIAL (SANT VICENÇ DELS HORTS)";1.999262;41.408723;10
"CEMENTOS PORTLAND VALDERRIVAS (SANTA MARGARIDA I ELS MONJOS)";1.663019;41.314665;10
"CEMEX ESPAÑA OPERACIONES (ALCANAR)";0.545266;40.578911;10
"CEMEX ESPAÑA-ALICANTE (CEMENTO BLANCO)";-0.541845;38.378608;10
"COLACEM S.P.A.";14.0658;41.4456;10
"COLACEM S.P.A. - CEMENTERIA DI GHIGIANO";12.6178;43.2844;10
"COLACEM S.P.A. - CEMENTERIA DI RASSINA";11.8367;43.6581;10
"Cementeria Costantinopoli srl";15.6736;40.9497;10
"Cementeria di Fanna";12.7394;46.1778;10
"Cimentas Bornova Cement Plant";27.2174057954796;38.4266767746672;10
"Dekhela Cement Plant";29.837925212807;31.1417032512115;10
"EVERÉ SAS";4.8602;43.42011;10
"Ege Steel Aliaga plant";26.9399494141561;38.7278344582328;10
"Ekinciler Iron and Steel Iskenderun plant";36.2048446538149;36.6908852919788;10
"Eppeh Cement Plant";35.8920505404933;34.9722776545152;10
"Ezine Cement Plant";26.2445980770296;39.8638011379185;10
"Fushi Kruji Cement Plant";19.7435664863421;41.5037744444971;10
"FÁBRICA DE CARBONERAS (LAFARGEHOLCIM ESPAÑA SAU)";-1.9029;36.9665;10
"FÁBRICA DE CEMENTOS DE MÁLAGA (VOTORANTIM CEMENTOS ESPAÑA, S.A.)";-4.326742;36.716601;10
"FÁBRICA DE MONTCADA (LAFARGEHOLCIM ESPAÑA SAU)";2.186544;41.477659;10
"HEIDELBERG MATERIALS FRANCE CIMENTS";4.53224;43.79239;10
"HEIDELBERG MATERIALS ITALIA CEMENTI S.p.A  (EX   ITALCEMENTI CEMENTERIA DI CALUSCO D`ADDA)";9.4667;45.6847;10
"HERACLES G.C.Co, VOLOS PLANT";22.9845;39.35171;10
"HERAMBIENTE S.R.L.  - IMPIANTO DI TERMOVALORIZZAZIONE RIFIUTI NON PERICOLOSI";10.9439;44.6714;10
"HESTAMBIENTE S.R.L.";13.7994;45.6111;10
"HM ITALIA CEMENTI SPA";10.3444;45.5153;10
"HOLCIM ESPAÑA SAU";-0.245249;39.666318;10
"Habas Aliaga steel plant";26.9503193645367;38.7507940801235;10
"Heidelberg Materials Italia Cementi S.p.A. (ex ITALCEMENTI SPA)";13.0042;41.7367;10
"Holcim Chekka Cement Plant";35.7236658920258;34.306566324113;10
"INDUSTRIA CEMENTI GIOVANNI ROSSI S.P.A.";9.7186;45.0497;10
"Impianto di Termovalorizzazione di San Lazzaro (PD)";11.9231;45.4083;10
"Impianto di termovalorizzazione Silla 2";9.0706;45.5042;10
"Isdemir Payas steel plant";36.2094834824266;36.735732350892;10
"Italcementi di  Matera";16.6569;40.6753;10
"Italcementi di Isola delle Femmine";13.2503;38.190833;10
"Kardemir Celik Sanayi Izmir steel plant";26.961168735701;38.7424970005737;10
"LAFARGE CIMENTS";3.0325;43.02208;10
"LOMELLINA ENERGIA";8.7776;45.2804;10
"Libyan Iron and Steel Misrata plant";15.2199139770487;32.3364152945575;10
"MMK Türkiye Metallurgical Payas plant";36.2056452039363;36.7814103000801;10
"Matrubah Cement Plant";22.7273995367686;32.6169677543662;10
"PLANTA DE VALORITZACIO ENERGETICA DE SANT ADRIA DE BESOS";2.229837;41.419171;10
"Proizvodnja cementa Koromačno";14.12122;44.96732;10
"Ragusa Cementi";14.725278;36.903056;10
"Ramla Cement Plant";34.8937628817209;31.9164680543115;10
"STABILIMENTO DI TARANTO";17.1999;40.5167;10
"Sarımazı Cement Plant";36.0039876388797;36.9330102756753;10
"Sebline Cement Plant";35.4237479090907;33.6282541088614;10
"Silifke Cement Plant";33.7299238803563;36.2630234976574;10
"Stabilimento di Gubbio CEMENTERIE ALDO BARBETTI S.p.A.";12.5467;43.3636;10
"Söke Cement Plant";27.4372135011911;37.7705316021886;10
"TERMOVALORIZZATORE DI ACERRA";14.3883;40.9667;10
"TIRME,S.A. COMPLEJO DE TRATAMIENTO INTEGRAL DE RESIDUOS URBANOS DE SON REUS";2.681217;39.644351;10
"TITAN CEMENT S.A. - DREPANO PLANT";21.84543;38.33557;10
"TITAN CEMENT S.A. - KAMARI PLANT";23.52458;38.13018;10
"TITAN CEMENT S.A. - THESSALONIKI PLANT";22.9532;40.6991;10
"TVORNICA CEMENTA ""SVETI JURAJ""";16.44352;43.54171;10
"Tenaris Dalmine - Stabilimento di Dalmine";9.5969;45.6425;10
"UNICALCE S.P.A. - STABILIMENTO DI VAL BREMBILLA";9.6261;45.7886;10
"UNITA' PRODUTTIVA DI MONTICHIARI";10.3316;45.4594;10
"Unità Locale 3 - Impianto di Termovalorizzazione rifiuti non pericolosi.";13.8971;41.4375;10
"VASSILIKO CEMENT WORKS PUBLIC COMPANY LTD, Vassilikos Plant";33.3164;34.7217;10
"VICAT";7.33352;43.76863;10
"Yüreğir Cement Plant";35.4522289335493;36.9643325445559;10
"ZEPHIRE";5.93276;43.13648;10
"İDÇ Izdemir Aliaga steel plant";26.9290116293903;38.7400416920799;10
"West Delta Deep Marine Development Lease";30.347;31.9725;10
"El-Temsah Development Lease";32.382;31.618;10
"TarraCO2";1.3583;40.717;10
"Prinos";24.4553683886739;40.8020352968049;10
"Kate";15.339032825382109;43.60686462359387;10
"Dugi Otok_Miocene Sandstone";15.211345279439891;43.60155363112335;10
"Ravenna";12.564;44.387;10
"Jonio";17.181692;39.114236;10
"Alicante";-0.483333;38.333333;10
"Ancona";13.494;43.629;10
"Ashdod";34.65;31.816667;10
"Augusta";15.233333;37.216667;10
"Banghazi";20.05;32.116667;10
"Botas";35.933333;36.883333;10
"Bur Sa'id";32.3;31.266667;10
"Casalborsetti";12.264553;44.553931;10
"Civitavecchia";11.771;42.102;10
"Crotone";17.136;39.078;10
"Darnah";22.65;32.766667;10
"Fos";4.883333;43.416667;10
"Genova";8.922;44.398;10
"Izmir";27.133333;38.433333;10
"Kavala";24.4;40.933333;10
"Khoms";14.25;32.666667;10
"Koromacno";14.1185;44.9673;10
"Kusadasi";27.25;37.866667;10
"Malaga";-4.416667;36.716667;10
"Megara Oil Terminal";23.4;37.966667;10
"Mersin";34.633333;36.8;10
"Monfalcone";13.55;45.783333;10
"Napoli";14.275;40.833;10
"Nemrut Limani Bay";26.916667;38.766667;10
"Palma De Mallorca";2.633333;39.566667;10
"Port-La-Nouvelle";3.066667;43.016667;10
"Porto Di Barletta";16.292;41.334;10
"Porto Di Lido-Venezia";12.433333;45.416667;10
"Porto Di Palermo";13.38;38.119;10
"Porto Romano";19.41666667;41.38333333;10
"Pozzallo";14.85;36.716667;10
"Sagunto";-0.216667;39.65;10
"Sibenik";15.883333;43.733333;10
"Taranto";17.2;40.466667;10
"Tarragona";1.233333;41.1;10
"Tartus";35.866667;34.9;10
"Tasucu";33.883333;36.316667;10
"Thessaloniki";22.933333;40.633333;10
"Toulon";5.916667;43.1;10
"Trieste";13.802586;45.611255;10
"Egyptian LNG Terminal";30.3186466;31.3490481;10
"AkcanSa";26.156554;39.879589;10
